reporter,grate_exports,grate_imports,grate_income,grate_fincome,exports_c,imports_c,tl_ratio,predicted_grate,dif_rates
Austria,0.0539514150520851,0.0488824503813638,0.0180959224715585,0.0162762244000093,3.83677919363664,4.57396857765665,0.838829372894885,0.0136529751065562,0.00444294736500232
Finland,0.0445134578639403,0.0473660785517341,0.0216566801681515,0.0162427441497933,5.65843348292461,3.79997739342053,1.48907030150282,0.0241865879283659,-0.00252990776021443
France,0.0394354310425609,0.0429123991474809,0.015858835962563,0.0164096949860689,2.93087225222978,5.35665634582534,0.547145843043287,0.00897849639723585,0.00688033956532713
Germany,0.0521003413273321,0.0474362911197946,0.0133358599019648,0.0172062032683818,3.6871979426526,3.89139354299746,0.947526355767252,0.0163033310794804,-0.00296747117751561
Greece,0.0568967054209335,0.0407352184194195,0.00798579820941555,0.0164391606254111,1.83118837848537,1.97272738540296,0.92825212040706,0.0152596857082501,-0.00727388749883458
Italy,0.0473798324410513,0.0433087525884443,0.00670478322233704,0.0178067130910045,3.542235542081,4.35039062280053,0.814233904311035,0.014498829523035,-0.00779404630069796
Netherlands,0.0588017565986974,0.054108592797431,0.0203877745980574,0.0161135165781059,3.47682081745831,3.0244788305948,1.14956030846959,0.0185234590880573,0.00186431551000006
Portugal,0.0534431944978299,0.0456617702788816,0.0137219296995759,0.0163582204770455,2.94916594101033,3.53731376745508,0.83373037702904,0.0136383453258513,8.35843737245785e-05
Spain,0.0653834921031758,0.0529916621505763,0.0204058040122959,0.0159826722773167,2.88333174821487,3.69838030804467,0.779620133154797,0.0124604130890111,0.00794539092328483
TOTALS,0.0524339584830674,0.047044801715014,0.0153503764717689,0.0165372388725708,3.42178058874372,3.80058741935534,0.925329857397752,0.0152780136939826,0.00464243227495572
