year,tech,reporter,share_tech_exports,share_tech_imports
2019,HIGH,Austria,0.135671133127553,0.136190673228624
2019,LOW,Austria,0.146769710245598,0.158405918564837
2019,MED,Austria,0.312702285369925,0.291582918346663
2019,PRIM,Austria,0.271398430766795,0.27793218795869
2019,RES,Austria,0.133458440490128,0.135888301901186
2019,HIGH,Finland,0.089812567047744,0.138871027911775
2019,LOW,Finland,0.0752192008703646,0.110333596352395
2019,MED,Finland,0.286257774725863,0.270194624509103
2019,PRIM,Finland,0.229519581031302,0.287180666798883
2019,RES,Finland,0.319190876324727,0.193420084427844
2019,HIGH,France,0.19554526904323,0.148566087576391
2019,LOW,France,0.120197863023205,0.154003470733537
2019,MED,France,0.288470378774274,0.282489550084653
2019,PRIM,France,0.255921274735618,0.273344717570797
2019,RES,France,0.139865214423674,0.141596174034623
2019,HIGH,Germany,0.169703700059021,0.169274456928968
2019,LOW,Germany,0.0978774721575937,0.128154483797018
2019,MED,Germany,0.365287212281141,0.272653603511727
2019,PRIM,Germany,0.249392161327834,0.293057417589868
2019,RES,Germany,0.11773945417441,0.136860038172419
2019,HIGH,Greece,0.0947874619367981,0.1131932263482
2019,LOW,Greece,0.108876998233902,0.127753772166523
2019,MED,Greece,0.12672158155035,0.180436825848082
2019,PRIM,Greece,0.284806138376175,0.394317404951438
2019,RES,Greece,0.384807819902774,0.184298770685757
2019,HIGH,Italy,0.0931517506931406,0.127603833566444
2019,LOW,Italy,0.191621558708127,0.135102691759289
2019,MED,Italy,0.31121970318513,0.259954858686298
2019,PRIM,Italy,0.27158099801343,0.334225202978374
2019,RES,Italy,0.132425989400172,0.143113413009595
2019,HIGH,Netherlands,0.175400083052603,0.190978449240362
2019,LOW,Netherlands,0.108712781162729,0.125364033917836
2019,MED,Netherlands,0.246104450776757,0.22227224664719
2019,PRIM,Netherlands,0.267121175579002,0.288466346141786
2019,RES,Netherlands,0.202661509428909,0.172918924052826
2019,HIGH,Portugal,0.0713181742832385,0.136951626194668
2019,LOW,Portugal,0.213698866521724,0.148032439682543
2019,MED,Portugal,0.294568850930155,0.280782071382547
2019,PRIM,Portugal,0.17730320696553,0.282175401251944
2019,RES,Portugal,0.243110901299352,0.1520584614883
2019,HIGH,Spain,0.0987361407265931,0.118106363375153
2019,LOW,Spain,0.148948945822051,0.144619154271461
2019,MED,Spain,0.339508194222615,0.279471739113693
2019,PRIM,Spain,0.209969510272094,0.305073432137087
2019,RES,Spain,0.202837208956647,0.152729311102606
